"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out1","Detection","2011",0.796095418183962,0.798405193922907,0.0430701169360359,0.703121561946413,0.87144513681387
"2","out1","Detection","2016",0.796095418183962,0.798405193922907,0.0430701441271697,0.703121561946413,0.871445136813871
"3","out1","Detection","2022",0.796095418183962,0.798405193922907,0.0430698889094457,0.703121561946413,0.871445136813869
"4","out1","Occupancy","2011",0.650735955255896,0.651962561465095,0.0396265101878757,0.566998164180234,0.726760266082379
"5","out1","Occupancy","2016",0.650735955255896,0.651962561465095,0.0396265352049831,0.566998164180234,0.726760266082381
"6","out1","Occupancy","2022",0.650735955255896,0.651962561465095,0.0396263003928103,0.566998164180234,0.726760266082369
