"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out2","Detection","2011",0.804744854433238,0.818064924769772,0.101486955281206,0.543818081866287,0.955875631788087
"2","out2","Detection","2016",0.841196818527658,0.844617103142856,0.07409467097895,0.68410386318283,0.962485913281446
"3","out2","Detection","2022",0.820813583567081,0.829332827832114,0.0697826399812823,0.650151267945451,0.928571524029435
"4","out2","Occupancy","2011",0.648039739109873,0.648806852840126,0.0392556699723388,0.570338219467619,0.721653062427761
"5","out2","Occupancy","2016",0.648039739109873,0.648806852840126,0.0392556947553264,0.570338219467619,0.721653062427761
"6","out2","Occupancy","2022",0.648039739109873,0.648806852840126,0.0392554621406168,0.570338219467619,0.721653062427759
