"","WAIC","pD","elpd","deviance","model"
"2",434.137615825114,19.201718654336,-197.867089258221,484.268428119075,"Spatial model 2"
"4",434.424284962904,20.667067638017,-196.545074843435,481.61069226816,"Spatial model 4"
"3",435.041526513974,25.0626113475766,-192.45815190941,488.199466226987,"Spatial model 3"
"1",436.576898812724,20.1950929813874,-198.093356424975,483.716969293395,"Spatial model 1"
