"","WAIC","pD","elpd","deviance","model"
"7",435.926704971966,5.07305193865825,-212.890300547325,488.812609537909,"Model 7"
"5",436.23458978126,4.11751417158481,-213.999780719045,488.510167010429,"Model 5"
"6",437.61871453527,4.10636866878196,-214.702988598853,493.168573816187,"Model 6"
"3",438.633930814147,3.30327771913615,-216.013687687937,489.187755947889,"Model 3"
"2",446.727574130356,4.89649446345504,-218.467292601723,504.267413085643,"Model 2"
"1",457.710602304508,2.01679278175456,-226.838508370499,524.519869627342,"Model 1"
"4",458.870912039983,3.19458959561553,-226.240866424376,533.779818571659,"Model 4"
