"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out.sp2","Detection","2022",0.782716688653609,0.785418026441604,0.0484709782495863,0.675682252694161,0.867695134407152
"2","out.sp2","Detection","2023",0.323541375344669,0.317828591398632,0.0572245437248919,0.230093856186662,0.450036477425706
"3","out.sp2","Occupancy","2022",0.745467010731403,0.783318102617134,0.186112829008317,0.28227996847352,0.987019573444532
"4","out.sp2","Occupancy","2023",0.729675498133392,0.767359437360467,0.193011480098289,0.255817930289457,0.985402711761605
