"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out.sp3","Detection","2022",0.78507042017869,0.788812776299461,0.0470956039951793,0.684387742812381,0.869002573435319
"2","out.sp3","Detection","2023",0.46688211428469,0.474407176963294,0.10923640601457,0.241749779403358,0.661089001438603
"3","out.sp3","Occupancy","2022",0.743232114122803,0.775339227284771,0.170061887230806,0.306808783289594,0.979031473592135
"4","out.sp3","Occupancy","2023",0.590001896992919,0.599940351100395,0.218847097095926,0.134122899452817,0.969726700128561
