"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out.sp1","Detection","2022",0.78145027311131,0.785875789057376,0.0479022640218308,0.676481632350756,0.863081308769683
"2","out.sp1","Detection","2023",0.351557746016603,0.344270222518057,0.0682368619202738,0.238585253144841,0.504723372782967
"3","out.sp1","Occupancy","2022",0.723238726983445,0.752516925174374,0.172539592577585,0.291605133969426,0.972539616309216
"4","out.sp1","Occupancy","2023",0.714341742436242,0.745823524080372,0.178806602131345,0.262547423720807,0.970254335726506
