"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out5","Detection","2022",0.78140864688187,0.78545431278414,0.047681205816077,0.679273579137979,0.864589427326376
"2","out5","Detection","2023",0.321518273751497,0.314878722369467,0.057768483318554,0.224071213053881,0.4573887739539
"3","out5","Occupancy","2022",0.747866258855287,0.745310901349507,0.099449645850484,0.55075112099564,0.946925792681273
"4","out5","Occupancy","2023",0.732973385578977,0.731242719825062,0.108607031547333,0.516864210243715,0.942984543217372
