"","Model","Submodel","Year","Mean","Med","SD","Low.025","High.975"
"1","out2","Detection","2022",0.727022630107752,0.734385406872505,0.0637256368261096,0.572483637893831,0.829090475979442
"2","out2","Detection","2023",0.534972482197073,0.572966957416365,0.1603001851109,0.0134663013850274,0.720607016023985
"3","out2","Occupancy","2022",0.668259888317156,0.667812346386196,0.0424713059511076,0.588294130331216,0.755525586223379
"4","out2","Occupancy","2023",0.668259888317156,0.667812346386196,0.0424713073669641,0.588294130331216,0.755525586223379
