"","WAIC","pD","elpd","deviance","model"
"4",273.175232939637,21.0197921938754,-115.567824275943,346.858580831844,"Spatial model 4"
"2",280.853527469801,18.9565365466959,-121.470227188205,354.625105375713,"Spatial model 2"
"3",291.176967355776,21.2816129936449,-124.306870684243,364.507140385247,"Spatial model 3"
"1",302.430039287902,18.9822910435576,-132.232728600393,385.646376406919,"Spatial model 1"
